date,temp,rain,snow
0202,-5.3,0.0,0
0203,-0.9,0.0,0
0204,1.6,0.0,0
0205,1.6,0.0,0
0206,-2.6,0.0,0
0207,-1.5,0.0,0
0208,-1.5,0.0,0
0209,1.1,0.0,0
0210,3.8,2.3,0
0211,2.9,0.9,0
0212,3.9,0.0,0
0213,0.8,0.0,0
0214,-2.8,0.0,0
0215,0.8,0.0,0
0216,4.1,0.0,0
0217,4.8,0.2,0
0218,5.3,0.3,0
0219,4.7,0.0,0
0220,2.9,0.0,0
0221,0.6,0.0,0
0222,1.7,0.0,0
0223,2.0,0.0,0
0224,4.1,0.0,0
0225,2.6,0.0,0
0226,5.5,0.0,0
0227,8.1,0.0,0
0228,0.7,0.0,0
0301,-2.1,0.0,0
0302,2.4,0.0,0
0303,3.0,0.0,0
0304,2.9,0.0,0
0305,2.3,0.0,0
0306,6.7,0.0,0
0307,9.7,0.0,0
0308,12.1,4.6,0
0309,9.8,0.2,0
0310,10.8,0.0,0
0311,10.3,0.1,0
0312,11.8,0.1,0
0313,10.5,0.0,0
0314,3.5,4.9,0
0315,1.4,0.0,0
0316,0.7,0.0,0
0317,3.0,0.0,0
0318,2.2,0.0,0
0319,5.7,0.0,0
0320,7.3,0.0,0
0321,7.7,8.0,0
0322,10.7,30.0,0
0323,10.2,0.0,0
0324,10.3,0.0,0
0325,9.4,0.0,0
0326,10.4,0.0,0
0327,8.3,0.0,0
0328,9.0,0.0,0
0329,8.8,0.4,0
0330,8.3,0.0,0
0331,8.3,0.0,0
0401,6.0,4.1,0
0402,8.3,0.0,0
0403,10.1,0.0,0
0404,10.1,0.0,0
0405,12.7,35.9,0
0406,8.7,0.0,0
0407,9.5,0.0,0
0408,9.3,0.0,0
0409,11.5,14.0,0
0410,12.5,2.9,0
0411,13.4,0.0,0
0412,14.7,0.0,0
0413,14.3,20.7,0
0414,12.5,0.0,0
0415,13.3,0.0,0
0416,10.4,0.0,0
0417,11.5,0.0,0
0418,12.4,0.0,0
0419,11.6,3.3,0
0420,13.3,27.0,0
0421,11.7,0.0,0
0422,11.1,0.0,0
0423,11.8,0.0,0
0424,12.6,0.0,0
0425,12.8,0.0,0
0426,14.2,25.7,0
0427,15.1,0.2,0
0428,13.4,0.0,0
0429,14.2,0.0,0
0430,15.3,30.2,0
0501,14.3,0.0,0
0502,15.2,0.0,0
0503,15.7,0.0,0
0504,16.2,2.8,0
0505,17.9,24.0,0
0506,15.9,3.3,0
0507,11.8,1.6,0
0508,12.9,0.0,0
0509,13.4,6.2,0
0510,13.5,0.0,0
0511,15.9,0.0,0
0512,16.9,0.0,0
0513,18.6,0.0,0
0514,13.5,0.0,0
0515,14.9,0.0,0
0516,16.2,0.0,0
0517,16.5,53.0,0
0518,18.4,0.0,0
0519,16.1,0.0,0
0520,17.6,0.0,0
0521,18.8,0.0,0
0522,19.5,0.0,0
0523,19.5,0.0,0
0524,16.9,0.0,0
0525,14.0,0.0,0
0526,13.9,0.0,0
0527,17.3,0.0,0
0528,19.3,0.0,0
0529,17.6,2.5,0
0530,17.8,0.0,0
0531,19.6,0.0,0
0601,21.2,0.0,0
0602,19.8,0.0,0
0603,17.6,0.0,0
0604,17.6,0.0,0
0605,16.3,0.1,0
0606,16.6,0.0,0
0607,16.8,2.0,0
0608,18.1,0.0,0
0609,20.1,0.0,0
0610,17.5,42.7,0
0611,19.6,100.8,0
0612,19.6,134.6,0
0613,19.6,2.0,0
0614,16.9,0.0,0
0615,16.9,0.0,0
0616,17.7,0.0,0
0617,17.2,20.6,0
0618,18.6,6.2,0
0619,19.0,0.0,0
0620,18.0,0.0,0
0621,17.3,0.0,0
0622,19.5,0.0,0
0623,23.3,0.0,0
0624,20.3,0.0,0
0625,19.2,0.0,0
0626,19.3,0.0,0
0627,20.8,0.0,0
0628,21.6,0.0,0
0629,22.3,0.0,0
0630,20.7,0.0,0
0701,22.8,0.0,0
0702,22.3,0.0,0
0703,20.9,2.4,0
0704,22.4,0.0,0
0705,22.6,0.0,0
0706,22.1,0.0,0
0707,19.9,16.5,0
0708,22.1,0.3,0
0709,21.6,0.0,0
0710,20.0,0.0,0
0711,21.6,0.0,0
0712,20.6,0.0,0
0713,21.9,0.0,0
0714,21.4,4.3,0
0715,20.5,87.2,0
0716,23.1,13.8,0
0717,25.6,0.0,0
0718,26.0,0.0,0
0719,22.8,10.7,0
0720,23.8,0.1,0
0721,22.2,0.0,0
0722,22.4,0.0,0
0723,23.3,0.0,0
0724,26.1,0.0,0
0725,24.1,0.0,0
0726,20.9,0.0,0
0727,22.7,0.0,0
0728,23.5,0.0,0
0729,25.1,0.0,0
0730,26.4,0.0,0
0731,25.5,0.1,0
0801,24.1,0.2,0
0802,24.9,0.0,0
0803,25.5,0.0,0
0804,25.9,0.0,0
0805,26.3,0.0,0
0806,26.7,0.0,0
0807,24.8,49.3,0
0808,26.6,0.0,0
0809,26.6,0.5,0
0810,27.5,0.0,0
0811,26.7,0.0,0
0812,26.5,0.2,0
0813,25.6,0.0,0
0814,25.6,0.0,0
0815,25.9,0.0,0
0816,27.0,0.0,0
0817,27.1,0.0,0
0818,26.8,0.0,0
0819,27.3,0.0,0
